University,City,Country,CourseName,CourseDescription,StartDate,EndDate,Price,Currency
Instituto Tecnológico de Sonora,La Esperanza,Mexico,Director of Sales,Persevering foreground moratorium,2018-12-19,2019-02-06,5415.75,MXN
Universidade Estadual de Campinas,Mairinque,Brazil,Social Worker,Monitored client-driven adapter,2016-11-05,2017-04-22,8247.13,BRL
Mamasani University of Technology,Anār,Iran,Programmer Analyst II,Sharable grid-enabled frame,2017-11-13,2017-12-02,1351.15,IRR
Université de Mahajanga,Fenoarivo Be,Madagascar,Budget/Accounting Analyst I,Inverse multimedia neural-net,2019-08-25,2019-09-09,8679.75,MGA
Akita University of Economics and Law,Okaya,Japan,Dental Hygienist,Managed background moratorium,2018-01-28,2018-01-30,4913.71,JPY
Kharkiv State Medical University,Zalishchyky,Ukraine,Accountant II,Synergized transitional open system,2019-08-10,2019-12-18,746.32,UAH
Neijiang Teacher University,Jiasi,China,Account Representative III,Profit-focused disintermediate open system,2017-09-03,2017-12-04,3361.16,CNY
Molde University College,Stavanger,Norway,Human Resources Manager,Automated local policy,2017-06-04,2017-10-06,8515.73,NOK
Chukyo Women's University,Kawasaki,Japan,VP Marketing,Customizable dedicated structure,2018-11-11,2018-11-18,1655.86,JPY
Universitas 17 Agustus 1945 Banyuwangi,Baler Baleagung,Indonesia,Senior Financial Analyst,Up-sized content-based hub,2018-09-23,2018-12-12,1640.58,IDR
Aarhus School of Architecture,København,Denmark,Account Representative IV,Configurable impactful knowledge user,2018-03-20,2018-10-03,3187.72,DKK
Ecole Nationale Supérieur de Géologie de Nancy,Bordeaux,France,Speech Pathologist,Vision-oriented optimizing open architecture,2019-03-03,2019-09-02,3000.73,EUR
European Institute of Education,Vittoriosa,Malta,Marketing Manager,Exclusive transitional task-force,2017-10-27,2018-04-17,2445.59,EUR
Unitomo Surabaya,Kedungwringin Satu,Indonesia,Programmer Analyst II,Future-proofed even-keeled contingency,2017-04-29,2017-07-13,6495.51,IDR
Inner Mongolia Agricultural University,Nyagla,China,Electrical Engineer,Vision-oriented zero defect software,2016-10-14,2017-01-03,4989.89,CNY
Kabardino-Balkarian State University,Cheremnoye,Russia,Marketing Manager,Persistent stable alliance,2016-07-08,2016-08-23,1023.07,RUB
"COMSATS Institute of Information Technology, Abbottabad",Lāchi,Pakistan,Senior Financial Analyst,Cross-platform 3rd generation service-desk,2019-11-11,2020-02-12,638.06,PKR
Universidad de Flores - Buenos Aires,Alejo Ledesma,Argentina,Senior Cost Accountant,Pre-emptive discrete process improvement,2016-05-16,2016-12-10,9352.95,ARS
Universidade Jean Piaget de Cabo Verde,Praia,Cape Verde,Research Associate,Integrated eco-centric secured line,2019-12-05,2020-03-10,8080.59,CVE
University of Trinity College,Brampton,Canada,Internal Auditor,Front-line uniform superstructure,2016-04-06,2016-09-28,2280.58,CAD
University of Veterinary Science,Budapest,Hungary,Teacher,Adaptive transitional info-mediaries,2016-07-25,2016-10-08,3342.36,HUF
"Islamic Azad University, Garmsar",Farmahīn,Iran,Account Executive,Team-oriented scalable superstructure,2019-05-29,2019-06-07,6078.87,IRR
Beder University,Kurjan,Albania,Database Administrator IV,Secured regional secured line,2019-11-01,2019-11-14,9269.74,ALL
Universitas Katolik Widya Manadala,Rancasadang,Indonesia,Senior Cost Accountant,Enhanced bottom-line strategy,2017-09-24,2017-09-27,7049.93,IDR
Université Paul Valéry (Montpellier III),Fréjus,France,Paralegal,Centralized intangible open architecture,2019-10-09,2020-02-09,3655.31,EUR
Ternopil Academy of National Economy,Otyniya,Ukraine,Account Representative I,Enterprise-wide 24 hour pricing structure,2016-07-07,2016-08-10,9232.53,UAH
"University College of Arts, Crafts and Design",Spånga,Sweden,Nurse,Public-key cohesive secured line,2017-10-11,2018-05-18,7793.5,SEK
Information and Communications Technology Academy,Loreto,Philippines,Paralegal,Horizontal analyzing firmware,2018-05-03,2018-07-08,3496.24,PHP
Universitas Islam Bandung,Munjungan,Indonesia,Legal Assistant,Synergistic explicit moratorium,2018-03-17,2018-09-30,4226.59,IDR
Agricultural University of Wroclaw,Sośnie,Poland,Account Representative II,Profound attitude-oriented complexity,2018-12-26,2019-02-25,1602.24,PLN
Andrzej Frycz Modrzewski Cracow College,Pępowo,Poland,Operator,Quality-focused high-level help-desk,2019-08-01,2020-01-01,5361.9,PLN
University of Guelph,North Saanich,Canada,Geological Engineer,Re-contextualized attitude-oriented local area network,2016-06-11,2016-12-11,4053.75,CAD
Southeast University,Zudun,China,Assistant Professor,Assimilated grid-enabled collaboration,2018-01-26,2018-05-22,7188.91,CNY
Kharkiv National University,Rakhiv,Ukraine,Biostatistician IV,Organic impactful intranet,2016-07-22,2016-12-09,9426.66,UAH
Shandong University of Art and Design,Diancun,China,Sales Representative,Implemented solution-oriented synergy,2019-08-07,2019-10-27,699.79,CNY
Universidad Nuestra Senora de La Paz,Las Carreras,Bolivia,Senior Financial Analyst,Programmable dynamic software,2019-10-11,2019-11-01,6712.25,BOB
Yaroslavl State Theatre Institute,Isniq,Kosovo,Design Engineer,Reactive asynchronous open system,2019-03-02,2019-06-22,3344.12,EUR
Universidad Metropolitana de Honduras,Aguas del Padre,Honduras,Sales Associate,Upgradable needs-based productivity,2018-07-15,2018-08-15,2152.35,HNL
Fujian University of Traditional Chinese Medicine,Yanliang,China,Senior Editor,Diverse systemic secured line,2018-09-02,2018-12-15,5276.67,CNY
Linguistic University of Nizhny Novgorod,Vasyl'evsky Ostrov,Russia,Analyst Programmer,Pre-emptive systematic emulation,2016-06-03,2016-10-31,1845.71,RUB
Stockholm Institute of Education,Munkedal,Sweden,Compensation Analyst,Advanced multi-state structure,2019-08-31,2019-09-12,8276.85,SEK
Ecole Nationale Supérieure des Mines de Paris,Ajaccio,France,Financial Advisor,Mandatory scalable challenge,2016-07-27,2016-11-02,7716.62,EUR
University of Ontario Institute of Technology,Collingwood,Canada,Junior Executive,Configurable multi-tasking archive,2017-04-10,2017-04-16,4956.69,CAD
Ural State Technical University,Lensk,Russia,Web Developer I,Phased eco-centric methodology,2018-08-29,2018-12-25,106.33,RUB
Sheikhbahaee University,Chenārān,Iran,Social Worker,Multi-lateral optimal success,2019-02-25,2019-05-08,2635.94,IRR
Prasetiya Mulya Business School,Dopang,Indonesia,Recruiter,Centralized explicit complexity,2018-03-08,2018-04-27,1956.61,IDR
Estonian University of Life Sciences,Aseri,Estonia,Software Consultant,Managed exuding standardization,2017-08-19,2018-02-15,913.61,EUR
Oduduwa University,Moriki,Nigeria,Environmental Specialist,Future-proofed actuating instruction set,2016-09-12,2016-11-18,6783.28,NGN
Obninsk State Technical University for Nuclear Power Engineering,Ventsy,Russia,Speech Pathologist,Operative object-oriented adapter,2017-06-19,2017-07-08,5901.51,RUB
Universidad Privada Antenor Orrego,Coasa,Peru,Assistant Media Planner,Face to face global benchmark,2017-11-09,2018-03-25,5826.07,PEN
Mount Saint Vincent University,Amherst,Canada,Geological Engineer,Mandatory next generation artificial intelligence,2019-03-01,2019-04-04,9031.82,CAD
Pyongyang University of Science and Technology,Wŏnsan,North Korea,Compensation Analyst,Integrated attitude-oriented implementation,2017-02-04,2017-08-29,2607.05,KPW
National Pedagogical University M. Dragomanov ,Dzvinogrud,Ukraine,Chief Design Engineer,Proactive multi-state installation,2019-02-19,2019-06-10,2096.65,UAH
Dalian University of Foreign Language,Dongji,China,GIS Technical Architect,Persevering human-resource array,2016-02-26,2016-08-03,6460.17,CNY
Universidad ICESI,Pamplona,Colombia,Engineer II,Realigned asymmetric infrastructure,2017-08-24,2017-10-12,2343.0,COP
Huazhong University of Science and Technology,Dazhou,China,Physical Therapy Assistant,Reverse-engineered zero administration software,2016-04-19,2016-11-16,1833.32,CNY
Universidade Federal Rural de Pernambuco,Rio Claro,Brazil,Community Outreach Specialist,Robust local success,2019-06-27,2019-09-21,9439.03,BRL
National University of Science and Technology Bulawayo,Shamva,Zimbabwe,Environmental Specialist,Synergized systematic support,2017-04-04,2017-05-19,2325.59,ZWL
Czech University of Agriculture Prague,Chodová Planá,Czech Republic,Payment Adjustment Coordinator,Sharable mission-critical software,2018-07-11,2018-10-23,7783.59,CZK
Russian State University for the Humanities,Zavetnoye,Russia,Engineer II,Persistent reciprocal system engine,2019-06-15,2019-08-09,3481.34,RUB
Ateneo de Naga University,Balangkayan,Philippines,Assistant Professor,Multi-layered composite conglomeration,2018-05-31,2018-11-06,6377.99,PHP
Nanjing University of Chemical Technology,Hongshanyao,China,Legal Assistant,Reactive grid-enabled alliance,2018-07-05,2018-12-21,3962.99,CNY
Politeknik Negeri Semarang,Margamukti,Indonesia,VP Accounting,Vision-oriented motivating array,2019-04-13,2019-06-15,8087.06,IDR
Universidade Federal de São Carlos,Picos,Brazil,Structural Analysis Engineer,Phased actuating circuit,2017-08-14,2017-11-20,3550.09,BRL
University of Regina Carmeli,Sinamar,Philippines,Help Desk Operator,Multi-lateral optimizing definition,2017-03-27,2017-05-26,9473.26,PHP
Shenzhen University,Jinsha,China,Administrative Assistant IV,Optional actuating challenge,2019-01-26,2019-06-19,9243.42,CNY
University of Dar Es Salaam,Kahama,Tanzania,Sales Representative,Cross-platform disintermediate methodology,2019-07-24,2020-01-03,3983.45,TZS
Institute of Industrial Electronics Engineering,Kāleke Mandi,Pakistan,Assistant Manager,Distributed interactive pricing structure,2017-09-24,2017-11-02,203.17,PKR
Polish-Japanese Institute of Information Technology in Warsaw,Fagatogo,American Samoa,Director of Sales,Seamless encompassing implementation,2016-11-20,2017-01-18,2096.9,USD
Universidad Nacional Pedro Ruíz Gallo,Quichuay,Peru,Speech Pathologist,Cross-group user-facing monitoring,2017-02-08,2017-06-23,6952.79,PEN
Universidad Galileo,Jerez,Guatemala,Paralegal,Re-engineered heuristic local area network,2016-11-27,2017-01-17,6261.08,GTQ
Belgorod State Agricultural Academy,Sharan,Russia,Chief Design Engineer,Digitized 5th generation archive,2017-10-07,2018-01-17,7133.29,RUB
Higher Institute of Agriculture and Animal Husbandry,Mohoro,Comoros,Quality Control Specialist,Down-sized real-time project,2018-06-19,2018-09-30,149.51,KMF
Huaihua Radio and Television University,Kuzhu,China,Occupational Therapist,Optional logistical time-frame,2019-05-30,2019-08-07,5436.25,CNY
Shanghai Sipo Polytechnic,Lichengdao,China,Research Associate,Programmable didactic secured line,2019-06-19,2019-09-28,8041.09,CNY
Capital Normal University,Zhanggongmiao,China,Administrative Officer,Diverse mission-critical toolset,2017-04-23,2017-09-08,9357.38,CNY
"University of Toronto, Scarborough",Espanola,Canada,Financial Advisor,Persistent transitional middleware,2018-04-24,2018-06-19,4253.94,CAD
Malmö University College,Höganäs,Sweden,Help Desk Operator,Enhanced human-resource matrices,2017-06-19,2017-09-23,9629.42,SEK
Universidade do Minho,Mosteiros,Portugal,Environmental Tech,Enterprise-wide maximized focus group,2019-01-31,2019-03-08,3944.14,EUR
Universidad de San Carlos de Guatemala,Santa Cruz La Laguna,Guatemala,Operator,De-engineered zero defect paradigm,2017-01-16,2017-07-04,6218.19,GTQ
Chongqing University of Technology,Gudong,China,Graphic Designer,De-engineered upward-trending capability,2019-10-10,2020-02-09,3673.73,CNY
